,trend_following,mean_reversion,dual_momentum,breakout
2017-05-17,0.30389734182722444,0.2739482853260449,0.28646131425461646,0.13569305859211425
2017-05-18,0.288990749873023,0.2881446933851815,0.2838862842045333,0.13897827253726205
2017-05-19,0.29178811877269467,0.28269845130322285,0.2858201298865581,0.1396933000375244
2017-05-22,0.29440565489898735,0.27858227697430127,0.2851037949545854,0.14190827317212604
2017-05-23,0.29533718077620685,0.2770922498004927,0.2855180674383815,0.14205250198491898
2017-05-24,0.2955464474753449,0.27699576395084846,0.2853802763493243,0.14207751222448242
2017-05-25,0.29536439017371846,0.2770546194853216,0.2855673238794916,0.14201366646146835
2017-05-26,0.29509378033712397,0.2772639427789304,0.2860684427639503,0.1415738341199953
2017-05-30,0.29643173375493514,0.27880888015570804,0.28672191988373946,0.13803746620561724
2017-05-31,0.2966569132554247,0.27839397194395393,0.2870529473113949,0.1378961674892264
2017-06-01,0.2974953094543624,0.27738357100058103,0.28756481768469505,0.13755630186036147
2017-06-02,0.29966214526531715,0.2708151340264638,0.2897451286392763,0.13977759206894289
2017-06-05,0.29864447094943497,0.2721501793560085,0.28880659976533024,0.1403987499292265
2017-06-06,0.29835858131721066,0.2706592109194574,0.29140620639132847,0.1395760013720034
2017-06-07,0.29772376363701053,0.2707342082540826,0.29192343628846723,0.1396185918204397
2017-06-08,0.29810009168192986,0.27048520718360647,0.2919146005525657,0.13950010058189802
2017-06-09,0.29965258965304437,0.26823191512858224,0.2930640872203343,0.13905140799803925
2017-06-12,0.2892519047450261,0.27481281589811846,0.29734359363705054,0.13859168571980496
2017-06-13,0.28946888307764973,0.27463250985557736,0.297436198156517,0.1384624089102559
2017-06-14,0.2906761416108243,0.2731432033073323,0.29688222212365284,0.13929843295819055
2017-06-15,0.2911237652340742,0.2725030256967155,0.29725647688531026,0.1391167321839
2017-06-16,0.29271218038074737,0.2735962934554527,0.29339867376975837,0.14029285239404168
2017-06-19,0.29317598538742295,0.27332338023660213,0.29290759361880936,0.14059304075716553
2017-06-20,0.29723309004997533,0.26359212511709573,0.2956675129894999,0.1435072718434291
2017-06-21,0.29778861667335266,0.26517756544627025,0.292645113243504,0.1443887046368731
2017-06-22,0.29848526856115454,0.2629446680081601,0.2931451036536938,0.1454249597769916
2017-06-23,0.2982357419105796,0.26269880629120224,0.2932448170152061,0.1458206347830121
2017-06-26,0.2983056538644383,0.2627780784471666,0.29287289147148665,0.1460433762169084
2017-06-27,0.2995427991489617,0.2626031398754725,0.2915136913029457,0.14634036967262015
2017-06-28,0.2967708563451686,0.2644439880296593,0.292269877936568,0.14651527768860392
2017-06-29,0.29770264923126993,0.2622296417249768,0.29171144673928817,0.14835626230446508
2017-06-30,0.2945423999657077,0.26416387367490096,0.2904816768103003,0.15081204954909097
2017-07-03,0.29330271639207856,0.26670012614858185,0.2897453584738059,0.15025179898553376
2017-07-05,0.29286463967248777,0.2657550972435505,0.29046405950169807,0.15091620358226365
2017-07-06,0.2931132499774959,0.26596485220966487,0.29014673174296834,0.1507751660698708
2017-07-07,0.2898092673461237,0.2682806933240466,0.2892211178493665,0.1526889214804632
2017-07-10,0.2903694786282867,0.26743804363846796,0.2893824713189097,0.15281000641433568
2017-07-11,0.29431675938599666,0.2704289775002653,0.28555685172228684,0.14969741139145126
2017-07-12,0.2959244258731703,0.2666097236752079,0.2833658318337161,0.15410001861790576
2017-07-13,0.2964615398204991,0.2701406287060287,0.27777562139400336,0.1556222100794689
2017-07-14,0.2964695804141433,0.2700755174782894,0.2775264111345962,0.15592849097297107
2017-07-17,0.296194142591099,0.2713331898300188,0.2754646939122619,0.15700797366662023
2017-07-18,0.2973516589095785,0.2693010122878697,0.27879211866593895,0.15455521013661283
2017-07-19,0.29692998783487085,0.2693210516866259,0.27938742383494186,0.15436153664356142
2017-07-20,0.29684649000777563,0.27003166172609266,0.2786916890296178,0.15443015923651401
2017-07-21,0.2963168386385261,0.27150830053838326,0.2781617922015748,0.15401306862151581
2017-07-24,0.29654682434244906,0.271362607763382,0.2783422439571255,0.15374832393704338
2017-07-25,0.29795398410833046,0.26963181656068225,0.27966138115458095,0.15275281817640649
2017-07-26,0.29788281655883875,0.26959124424639197,0.2798699266513165,0.1526560125434528
2017-07-27,0.29776536604823156,0.2705084712309876,0.27863166479183643,0.15309449792894433
2017-07-28,0.2976689187397489,0.2708165385965482,0.27825240814330104,0.15326213452040202
2017-07-31,0.2978768504444899,0.27618636794085694,0.27564706274614453,0.1502897188685086
2017-08-01,0.2981858737620521,0.27633253562991805,0.2753076773194668,0.15017391328856314
2017-08-02,0.2982024970440519,0.275571961859965,0.2757069047648774,0.1505186363311057
2017-08-03,0.29826861535512167,0.2755260695250708,0.2756858809842719,0.15051943413553556
2017-08-04,0.2980257783864691,0.275703714439989,0.27579177175023734,0.1504787354233045
2017-08-07,0.2973641465044306,0.27790181381250406,0.2753049871621702,0.1494290525208952
2017-08-08,0.2967140557884292,0.27818338546039023,0.27579915394908583,0.1493034048020947
2017-08-09,0.2966849058813004,0.2780380312228464,0.2757231908746117,0.1495538720212416
2017-08-10,0.29768120572018547,0.27765303572854655,0.2746067109680135,0.1500590475832544
2017-08-11,0.29135504454092254,0.2856074783228768,0.2673101618870656,0.155727315249135
2017-08-14,0.2914912378383729,0.28508286062865146,0.26756525567092554,0.15586064586205003
2017-08-15,0.3006688894798332,0.2650324675252626,0.27682799369563815,0.1574706492992661
2017-08-16,0.30150475252337205,0.2674979124030982,0.277592103569834,0.15340523150369584
2017-08-17,0.3019106380278451,0.26849997501055206,0.2758639477262476,0.15372543923535514
2017-08-18,0.2977810451049045,0.2733955042294394,0.2725410152733452,0.15628243539231101
2017-08-21,0.29749845015860005,0.27527667760568675,0.27106199407043297,0.15616287816528013
2017-08-22,0.29669685371959836,0.27678990742246334,0.27080604264119923,0.15570719621673906
2017-08-23,0.29407343278942616,0.2797325501169197,0.2707281308750972,0.1554658862185569
2017-08-24,0.2878470403977008,0.2967721639454706,0.2644411667284754,0.15093962892835305
2017-08-25,0.286357907615043,0.30078218808430296,0.26312279924826293,0.14973710505239107
2017-08-28,0.2860671837808784,0.30063465313357274,0.262737313736759,0.15056084934878983
2017-08-29,0.287549046300059,0.29934160780928204,0.26324375990751003,0.14986558598314895
2017-08-30,0.2878143546722133,0.30004510412892044,0.2633975168623477,0.1487430243365186
2017-08-31,0.2860560839499117,0.29653321702677704,0.2737504758882479,0.1436602231350634
2017-09-01,0.2857086313375434,0.2984626455604441,0.27640720220222204,0.13942152089979057
2017-09-05,0.2867232032257423,0.29853292220434224,0.2762026905088432,0.13854118406107235
2017-09-06,0.28803016108291135,0.30053127080547054,0.2720248060634897,0.13941376204812841
2017-09-07,0.2884880512854822,0.3006353691777594,0.27114670349052006,0.13972987604623835
2017-09-08,0.28658932483858474,0.294918160860787,0.2701082745171026,0.14838423978352572
2017-09-11,0.28661682508114744,0.2948812988525749,0.27027417485405125,0.14822770121222645
2017-09-12,0.2871407056282148,0.2914885070094446,0.26706551369809184,0.15430527366424868
2017-09-13,0.2867231114207913,0.29113079018043553,0.26756016943875977,0.15458592896001347
2017-09-14,0.286497048170476,0.2901383387709928,0.26678131906266633,0.15658329399586482
2017-09-15,0.28493131702264635,0.28847135727299117,0.2661817334901943,0.16041559221416807
2017-09-18,0.27653685165920744,0.27962619045306464,0.2580490116145647,0.18578794627316322
2017-09-19,0.2766016998746595,0.279942544318258,0.25826638191642987,0.18518937389065265
2017-09-20,0.2763920854605167,0.2799334771664614,0.25847597566074443,0.18519846171227755
2017-09-21,0.2765453400072632,0.2801647826276764,0.25783540544127465,0.18545447192378575
2017-09-22,0.2774189708036997,0.2788406866258417,0.257974486538256,0.18576585603220258
2017-09-25,0.27762277586534834,0.2787634616475916,0.25777200771896397,0.18584175476809614
2017-09-26,0.2888379222510247,0.2649853596511246,0.2575603240397235,0.1886163940581272
2017-09-27,0.2879671704425398,0.26763156024727525,0.2560826822928548,0.1883185870173303
2017-09-28,0.28715110933780646,0.26938469836701057,0.256703171805081,0.1867610204901019
2017-09-29,0.28703307835930564,0.2705562566212718,0.25609836057796354,0.18631230444145894
2017-10-02,0.28827566183693804,0.26871533176872664,0.25522984847572117,0.18777915791861421
2017-10-03,0.28945897298034284,0.269658080561333,0.25610424243860525,0.18477870401971888
2017-10-04,0.2907605858267571,0.2703732870372986,0.2533847025138288,0.18548142462211548
2017-10-05,0.2886275048639394,0.26837967174640054,0.25160749742151295,0.191385325968147
2017-10-06,0.28838135486782823,0.26896324115765446,0.25200606963178906,0.19064933434272827
2017-10-09,0.288883249245689,0.26968370180497186,0.2516147844278089,0.18981826452153014
2017-10-10,0.2873742736685288,0.275526482321856,0.24938879400804115,0.187710450001574
2017-10-11,0.2886350101153472,0.27526936713049627,0.24754476794662045,0.188550854807536
2017-10-12,0.28842201435114595,0.2752890423198485,0.24801125574797409,0.1882776875810314
2017-10-13,0.2886434712252285,0.27515742307457125,0.24797694684364507,0.18822215885655522
2017-10-16,0.2882849712472142,0.2761986283534856,0.24729837146684683,0.18821802893245348
2017-10-17,0.28831366047624235,0.2762396944801658,0.24726405479555288,0.18818259024803885
2017-10-18,0.29755326041485763,0.2688407107665222,0.2419863903666568,0.19161963845196328
2017-10-19,0.2976937152201647,0.26824556261673915,0.24270677929952073,0.1913539428635755
2017-10-20,0.29679757199423923,0.27071691878445936,0.24180765760205816,0.19067785161924314
2017-10-23,0.2957729586564667,0.2718517162146473,0.24131468488443583,0.1910606402444503
2017-10-24,0.2946836578079801,0.27160797082395155,0.24384389421595365,0.18986447715211469
2017-10-25,0.29440044298057494,0.27197910325644353,0.2440786729993645,0.18954178076361694
2017-10-26,0.2897602297476777,0.2838617167732103,0.24032366892132415,0.18605438455778794
2017-10-27,0.291035374134544,0.2818758886145241,0.2424094156314771,0.1846793216194547
2017-10-30,0.2857871553384755,0.2798614595678515,0.2480367283689676,0.18631465672470546
2017-10-31,0.2876622325431929,0.279443878335324,0.24935354685064623,0.1835403422708368
2017-11-01,0.2871522296497551,0.28023166957101203,0.2489366117007213,0.18367948907851164
2017-11-02,0.28719319966386986,0.2796701155860532,0.24914469880153914,0.18399198594853775
2017-11-03,0.2905369535594387,0.27701133830657915,0.24900151823259317,0.18345018990138892
2017-11-06,0.29068394663009406,0.28170889871646737,0.24903845414493408,0.17856870050850446
2017-11-07,0.2964629068325479,0.28355163927096366,0.2507713711905977,0.16921408270589075
2017-11-08,0.29586367814816794,0.2847169744422537,0.250021376710645,0.1693979706989334
2017-11-09,0.2957174365431381,0.28650078777618454,0.2488452114533887,0.1689365642272887
2017-11-10,0.29544425638466987,0.2877723571384456,0.24741100587762407,0.16937238059926046
2017-11-13,0.3011387166870442,0.28513682300814197,0.24670029193182966,0.1670241683729842
2017-11-14,0.30075394679953227,0.2869969121342988,0.24558853441966608,0.16666060664650278
2017-11-15,0.2992317053843261,0.28971118424334824,0.24826282860198398,0.16279428177034166
2017-11-16,0.29634198160429004,0.2909171503057613,0.24916229134083268,0.16357857674911602
2017-11-17,0.3014509496986516,0.2688150575864484,0.25847186524642557,0.17126212746847452
2017-11-20,0.30145743545637643,0.2685228419510275,0.25879285816506326,0.17122686442753277
2017-11-21,0.30192057542167483,0.2666579294470116,0.26075059614631657,0.170670898984997
2017-11-22,0.29576434968975834,0.27073186911266334,0.26062113632826345,0.17288264486931496
2017-11-24,0.295719235288297,0.2707203346532947,0.2606223343216216,0.17293809573678665
2017-11-27,0.2964649180367578,0.27101086438489835,0.26227604185974007,0.17024817571860384
2017-11-28,0.30096358756421293,0.27878390167295486,0.26342830009489693,0.15682421066793525
2017-11-29,0.30228993757353606,0.28085541356720783,0.26411575604653803,0.15273889281271805
2017-11-30,0.30124570948217644,0.28873259385546646,0.26590398755893263,0.1441177091034245
2017-12-01,0.3016413140020235,0.28918592419664896,0.2648818278132231,0.14429093398810444
2017-12-04,0.3020992561800339,0.2883054314417858,0.26537432553809337,0.14422098684008708
2017-12-05,0.2992091475675048,0.29069358293439856,0.2656113776024017,0.144485891895695
2017-12-06,0.29949736867823995,0.2918822235341857,0.26648804013305777,0.14213236765451673
2017-12-07,0.3040373329737213,0.2919669581694388,0.26048864105513714,0.14350706780170264
2017-12-08,0.30399128253923424,0.29188189622740796,0.2606667983059939,0.14346002292736387
2017-12-11,0.30451635017900497,0.29155448918249716,0.25958269451085325,0.14434646612764465
2017-12-12,0.3045567224773334,0.2916272448927165,0.25936366132960786,0.1444523713003422
2017-12-13,0.3053550787276325,0.29225621211195696,0.25756722550114897,0.14482148365926162
2017-12-14,0.30573163645124735,0.29206639392137856,0.25723626660918547,0.14496570301818865
2017-12-15,0.3054453554169812,0.2925169816696909,0.2571876599282275,0.14485000298510045
2017-12-18,0.30444101094216336,0.2944890268865322,0.2587007157099221,0.1423692464613824
2017-12-19,0.31108781499817134,0.289503615481116,0.2620937873580863,0.13731478216262633
2017-12-20,0.3088010068578851,0.29278303854997995,0.26456294327477736,0.13385301131735763
2017-12-21,0.2948691650735455,0.3223077500504315,0.25322279162435174,0.12960029325167136
2017-12-22,0.2940629362171792,0.32153310998364265,0.2521534207635359,0.13225053303564224
2017-12-26,0.2939271253384978,0.3211797257354381,0.25279187162811034,0.13210127729795385
2017-12-27,0.30007031045745075,0.31579586161121753,0.2543005623406608,0.12983326559067088
2017-12-28,0.29970048012288003,0.3157403743295212,0.2549033383783403,0.12965580716925867
2017-12-29,0.30017485625171386,0.31592613070733055,0.2540905469682464,0.12980846607270916
2018-01-02,0.2984116078013941,0.32151286050918004,0.2522402081248946,0.12783532356453128
2018-01-03,0.30087294485554683,0.3132399874409322,0.25470139125228086,0.13118567645124019
2018-01-04,0.29862469321653856,0.31595880011549987,0.25476171942658776,0.13065478724137375
2018-01-05,0.29759983864064987,0.31601225145747874,0.2558497227856393,0.130538187116232
2018-01-08,0.29576610621113486,0.3167599391837215,0.25666144429081267,0.13081251031433114
2018-01-09,0.2960872528477703,0.3158615824681162,0.2565588199038372,0.13149234478027624
