,portfolio
2009-11-06,1119595.7372448242
2009-11-09,1129297.39282177
2009-11-10,1128337.326995172
2009-11-11,1132264.3904348104
2009-11-12,1125007.946693658
2009-11-13,1129792.1879397584
2009-11-16,1138769.8364084435
2009-11-17,1139395.971232424
2009-11-18,1139589.3185977235
2009-11-19,1130323.3947755073
2009-11-20,1128416.9251281787
2009-11-23,1138111.4417810813
2009-11-24,1135728.9515137996
2009-11-25,1144060.3524473829
2009-11-27,1126640.4100367122
2009-11-30,1134599.626416369
2009-12-01,1147700.2277374398
2009-12-02,1152646.7471311297
2009-12-03,1148628.3972170076
2009-12-04,1142685.6684410004
2009-12-07,1136799.1033070374
2009-12-08,1129880.398356688
2009-12-09,1130884.6265728264
2009-12-10,1132553.2760744598
2009-12-11,1134095.4011307545
2009-12-14,1139463.3512286886
2009-12-15,1136119.5330005896
2009-12-16,1140014.3281693137
2009-12-17,1131108.3906302804
2009-12-18,1135557.6772555169
2009-12-21,1137251.696464311
2009-12-22,1139657.4212184995
2009-12-23,1143956.864860859
2009-12-24,1148125.6138193144
2009-12-28,1150843.1875477866
2009-12-29,1148216.207823601
2009-12-30,1148707.1557879671
2009-12-31,1144627.4318149674
2010-01-04,1154392.063085568
2010-01-05,1155347.3917420332
2010-01-06,1157171.1456429355
2010-01-07,1156131.8054009853
2010-01-08,1158158.2954419728
2010-01-11,1158239.6497579014
2010-01-12,1148181.5703135661
2010-01-13,1153051.3136800337
2010-01-14,1152863.5738004006
2010-01-15,1146487.5623132943
2010-01-19,1157368.3601986999
2010-01-20,1145459.1516724725
2010-01-21,1134553.2061258862
2010-01-22,1122453.4544609776
2010-01-25,1124339.7071822807
2010-01-26,1112223.7278331884
2010-01-27,1115940.6534604882
2010-01-28,1111035.5588956329
2010-01-29,1106362.3431604097
2010-02-01,1115253.4425268748
2010-02-02,1119330.6846541902
2010-02-03,1116310.2854068566
2010-02-04,1108690.664177517
2010-02-05,1110746.6256278197
2010-02-08,1106458.198025969
2010-02-09,1110091.3557463095
2010-02-10,1110233.1007627156
2010-02-11,1113102.5058530383
2010-02-12,1113670.4599148373
2010-02-16,1118221.408252078
2010-02-17,1118808.736137449
2010-02-18,1120732.311024958
2010-02-19,1120491.9389413798
2010-02-22,1120492.5994578092
2010-02-23,1119018.5923929838
2010-02-24,1120133.9970947076
2010-02-25,1120775.1395793874
2010-02-26,1122408.4357068352
2010-03-01,1124575.9361129615
2010-03-02,1126275.1801241585
2010-03-03,1126560.387414645
2010-03-04,1126607.3560478403
2010-03-05,1129146.9037601824
2010-03-08,1129944.705861576
2010-03-09,1130237.9333156375
2010-03-10,1131531.9945955584
2010-03-11,1132993.79269023
2010-03-12,1133525.4326791242
2010-03-15,1133274.6229352604
2010-03-16,1139276.5149507301
2010-03-17,1141499.2417055995
2010-03-18,1141642.675180564
2010-03-19,1137836.5462603904
2010-03-22,1140586.7409341724
2010-03-23,1141744.614169659
2010-03-24,1140407.0104221515
2010-03-25,1140920.0043041974
2010-03-26,1141298.0440406771
2010-03-29,1144741.112402999
2010-03-30,1144600.7742914688
2010-03-31,1142981.4397324396
2010-04-01,1145041.0222246007
2010-04-05,1151421.7341679973
2010-04-06,1155678.1268630463
2010-04-07,1151058.0261949052
2010-04-08,1152161.4265721813
2010-04-09,1156459.5445527264
2010-04-12,1153263.6210775266
2010-04-13,1157051.4642903327
2010-04-14,1163077.2009351312
2010-04-15,1160431.1979185669
2010-04-16,1142211.7131569812
2010-04-19,1140110.9414721814
2010-04-20,1144459.027730218
2010-04-21,1147105.038371846
2010-04-22,1148418.5618409775
2010-04-23,1153470.8416113132
2010-04-26,1152905.1015509178
2010-04-27,1144061.2419474856
2010-04-28,1144962.835914014
2010-04-29,1159180.6441273838
2010-04-30,1152040.7435307724
2010-05-03,1160867.4658140328
2010-05-04,1147177.4100390158
2010-05-05,1145032.795078437
2010-05-06,1121596.4785890696
2010-05-07,1118213.3005570355
2010-05-10,1129380.7454902881
2010-05-11,1130659.5652857546
2010-05-12,1131509.0901262055
2010-05-13,1130030.6331893695
2010-05-14,1129628.8729417615
2010-05-17,1126859.6682016163
2010-05-18,1127250.0634745525
2010-05-19,1123740.4749447699
2010-05-20,1117990.4620674367
2010-05-21,1121259.6139678606
2010-05-24,1118931.4074300088
2010-05-25,1119441.587111201
2010-05-26,1118647.2277144867
2010-05-27,1125034.064782847
2010-05-28,1124915.2287104551
2010-06-01,1124706.579804523
2010-06-02,1124167.3630103783
2010-06-03,1123783.260523238
2010-06-04,1125577.6796347257
2010-06-07,1126162.8569447203
2010-06-08,1125574.1246624961
2010-06-09,1125242.9752913592
2010-06-10,1121997.0974268878
2010-06-11,1124342.2096278698
2010-06-14,1123494.5603858158
2010-06-15,1123806.8591830025
2010-06-16,1124273.49436488
2010-06-17,1126333.980064918
2010-06-18,1126705.597236222
2010-06-21,1123356.601963853
2010-06-22,1126270.5719468223
2010-06-23,1126666.037876114
2010-06-24,1124746.5680212947
2010-06-25,1127631.2181766985
2010-06-28,1126805.9548345043
2010-06-29,1125077.6556555415
2010-06-30,1125640.3185963575
2010-07-01,1117967.154985338
2010-07-02,1117948.9402495178
2010-07-06,1117435.110908693
2010-07-07,1115666.3724142334
2010-07-08,1114053.6076391893
2010-07-09,1113573.7854594935
2010-07-12,1112952.8620903012
2010-07-13,1112131.729749698
2010-07-14,1113570.2899474152
2010-07-15,1115003.6327283545
2010-07-16,1114848.133650979
2010-07-19,1113485.0300230398
2010-07-20,1114313.4591586736
2010-07-21,1116320.647229943
2010-07-22,1115318.433673923
2010-07-23,1113421.534502288
2010-07-26,1113500.2868722968
2010-07-27,1110870.6906888566
2010-07-28,1111152.8420367264
2010-07-29,1111603.5957424527
2010-07-30,1114942.2931654798
2010-08-02,1116390.864768211
2010-08-03,1116235.2362801647
2010-08-04,1115753.4823948406
2010-08-05,1114350.7958703632
2010-08-06,1113904.5870151906
2010-08-09,1115493.4772705701
2010-08-10,1111630.3026234691
2010-08-11,1108193.9033744638
2010-08-12,1107492.5926264033
2010-08-13,1109961.3598033919
2010-08-16,1114683.6592114745
2010-08-17,1116069.7889144714
2010-08-18,1116738.7688473596
2010-08-19,1117919.2129224355
2010-08-20,1117304.687358989
2010-08-23,1116423.2987650286
2010-08-24,1118459.2031963668
2010-08-25,1118548.073522477
2010-08-26,1120199.3193789183
2010-08-27,1115645.6680474773
2010-08-30,1117776.266062515
2010-08-31,1119909.795260496
2010-09-01,1118964.4837936698
2010-09-02,1118332.2044129954
2010-09-03,1117752.6434540367
2010-09-07,1117960.6415737004
2010-09-08,1118185.1302036007
2010-09-09,1115709.1516435486
2010-09-10,1116170.1698755873
2010-09-13,1117641.132957236
2010-09-14,1120190.7503451584
2010-09-15,1120308.4088076982
2010-09-16,1119634.6959686566
2010-09-17,1120038.3892748547
2010-09-20,1126209.7113102786
2010-09-21,1126296.513764137
2010-09-22,1125292.1780962523
2010-09-23,1120471.4909023824
2010-09-24,1128870.6708642456
2010-09-27,1127160.1662217907
2010-09-28,1131449.6062948508
2010-09-29,1130782.5434045168
2010-09-30,1130824.971996021
2010-10-01,1136521.403348798
2010-10-04,1133291.5850031984
2010-10-05,1149887.0364554923
2010-10-06,1152381.6361134339
2010-10-07,1146694.702946
2010-10-08,1153781.619324223
2010-10-11,1154384.8325986655
2010-10-12,1153966.9310571984
2010-10-13,1163378.149774007
2010-10-14,1163511.3025204404
2010-10-15,1160499.5808869835
2010-10-18,1164451.8157630672
2010-10-19,1147058.209420105
2010-10-20,1155542.162745711
2010-10-21,1150676.8473859935
2010-10-22,1153262.631886288
2010-10-25,1157297.0454518418
2010-10-26,1154678.4426936195
2010-10-27,1149715.2953718307
2010-10-28,1152885.3707035095
2010-10-29,1155273.9271950268
2010-11-01,1155515.3590477477
2010-11-02,1162517.7609435678
2010-11-03,1161095.4199723785
2010-11-04,1176887.340086461
2010-11-05,1176962.9029937238
2010-11-08,1178860.7443952435
2010-11-09,1172229.6633826983
2010-11-10,1175893.7667143762
2010-11-11,1173935.5034561502
2010-11-12,1164165.111128631
2010-11-15,1157669.5220830238
2010-11-16,1143488.7685381465
2010-11-17,1143490.9126798296
2010-11-18,1153520.3777077622
2010-11-19,1153802.1184249113
2010-11-22,1155379.1626056337
2010-11-23,1156052.598180033
2010-11-24,1155301.7254219353
2010-11-26,1153037.2447278807
2010-11-29,1155213.779999498
2010-11-30,1156443.3931024778
2010-12-01,1160998.9706520417
2010-12-02,1165243.910497004
2010-12-03,1167267.8622041533
2010-12-06,1167163.4075214171
2010-12-07,1162878.0012775448
2010-12-08,1162983.0923236962
2010-12-09,1162802.4076483133
2010-12-10,1163588.2171060375
2010-12-13,1165779.932425032
2010-12-14,1165902.038988173
2010-12-15,1162943.1470730032
2010-12-16,1163096.4816426435
2010-12-17,1164452.7203436906
2010-12-20,1165754.6846016685
2010-12-21,1169172.194812477
2010-12-22,1170832.8020038449
2010-12-23,1171439.1454536994
2010-12-27,1170703.9139183736
2010-12-28,1173899.8220369625
2010-12-29,1175757.8687348862
2010-12-30,1172741.1374057026
2010-12-31,1178487.1529605642
2011-01-03,1182779.5559576694
2011-01-04,1177553.4698029046
2011-01-05,1181226.2904518708
2011-01-06,1175663.8498406422
2011-01-07,1172643.3170719794
2011-01-10,1173380.0579575116
2011-01-11,1179231.4307875573
2011-01-12,1186861.2153788677
2011-01-13,1183914.646819091
2011-01-14,1186201.455585655
2011-01-18,1186309.0359704494
2011-01-19,1182882.0010167088
2011-01-20,1177476.3079341098
2011-01-21,1174860.2730629533
2011-01-24,1179657.5511416665
2011-01-25,1175539.240561187
2011-01-26,1183951.0121806886
2011-01-27,1182943.5593126907
2011-01-28,1175536.7065831227
2011-01-31,1180978.7639698456
2011-02-01,1191234.2099076
2011-02-02,1192333.9182821508
2011-02-03,1191568.4060284193
2011-02-04,1190836.1674659806
2011-02-07,1192303.1068884674
2011-02-08,1195687.5044390585
2011-02-09,1196130.6662615794
2011-02-10,1195384.8168415348
2011-02-11,1197772.2684563017
2011-02-14,1199172.692073035
2011-02-15,1195605.1799274944
2011-02-16,1200339.331251054
2011-02-17,1201481.453903266
2011-02-18,1202754.1542874197
2011-02-22,1195072.4291992595
2011-02-23,1196946.4161633574
2011-02-24,1192151.450478033
2011-02-25,1208972.8273888351
2011-02-28,1214027.9854535633
2011-03-01,1214160.2134605225
2011-03-02,1216277.5923103704
2011-03-03,1219677.2945125415
2011-03-04,1222217.8886671516
2011-03-07,1219149.1438558586
2011-03-08,1219439.13145582
2011-03-09,1219624.2682869236
2011-03-10,1204131.883971438
2011-03-11,1204213.747397603
2011-03-14,1203634.0714124935
2011-03-15,1190271.1655184103
2011-03-16,1183857.9522195861
2011-03-17,1193027.172764604
2011-03-18,1195954.0376917475
2011-03-21,1201681.5990838984
2011-03-22,1202485.9579620238
2011-03-23,1203159.1162652038
2011-03-24,1203461.0519452232
2011-03-25,1204581.2519196703
2011-03-28,1202015.4089480685
2011-03-29,1203397.0484002663
2011-03-30,1204716.556781849
2011-03-31,1207442.999007827
2011-04-01,1209875.2114104398
2011-04-04,1213978.8511039794
2011-04-05,1215672.640543757
2011-04-06,1218025.4076257534
2011-04-07,1218967.4562419425
2011-04-08,1227522.3767781653
2011-04-11,1218767.8220415174
2011-04-12,1206850.2545882736
2011-04-13,1210902.9562984305
2011-04-14,1214938.4306263477
2011-04-15,1219903.2789917553
2011-04-18,1212159.9353833902
2011-04-19,1215070.487947318
2011-04-20,1226175.600917556
2011-04-21,1232161.8603488007
2011-04-25,1231565.442901125
2011-04-26,1232037.0448237178
2011-04-27,1237500.9302225024
2011-04-28,1237557.9913860396
2011-04-29,1241100.8255629307
2011-05-02,1235612.2407941576
2011-05-03,1229837.5303497612
