,QQQ,VEU,STC,AlRajhi,BonyanREIT,AlinmaHospitalityREIT
2016-08-31,0.2897999129017488,0.2730832478485843,0.22491727882870594,0.212199560420961,0.0,0.0
2016-09-30,0.2891188731692843,0.2735857043248902,0.22204133832480916,0.21525408418101621,0.0,0.0
2016-10-31,0.29228285929210923,0.27770548355522756,0.21873729019451388,0.21127436695814933,0.0,0.0
2016-11-30,0.2922488088707235,0.27729591518827024,0.21470723544940684,0.2157480404915994,0.0,0.0
2016-12-30,0.2910853837428943,0.2748796286405173,0.21814805496163855,0.21588693265494988,0.0,0.0
2017-01-31,0.2918720396310701,0.27594179236519123,0.21673188344641173,0.21545428455732699,0.0,0.0
2017-02-28,0.29170413111009313,0.2785573419380164,0.21501762071643904,0.21472090623545145,0.0,0.0
2017-03-31,0.29187163060221466,0.27627003905045944,0.21708261975701618,0.21477571059030978,0.0,0.0
2017-04-30,0.2937737098933894,0.2681943946411061,0.21894865941631947,0.21908323604918506,0.0,0.0
2017-05-31,0.29492853657557583,0.2715411118383225,0.21573628774131137,0.21779406384479033,0.0,0.0
2017-06-30,0.29081972613752866,0.27673060583544395,0.22896739965414997,0.2034822683728775,0.0,0.0
2017-07-31,0.2936909920076601,0.27854604548399275,0.2268000235744601,0.20096293893388717,0.0,0.0
2017-08-31,0.29536471769427974,0.2757646261570831,0.22293467383742563,0.20593598231121157,0.0,0.0
2017-09-29,0.2998012471504273,0.28147440257010475,0.21446921822804413,0.2042551320514239,0.0,0.0
2017-10-31,0.30787746335946237,0.29143664889572757,0.20181710602347977,0.1988687817213303,0.0,0.0
2017-11-30,0.29569671988390045,0.29882857938263097,0.20599534424944302,0.19947935648402565,0.0,0.0
2017-12-31,0.294685885120877,0.29746584189916225,0.2070413376128223,0.20080693536713848,0.0,0.0
2018-01-31,0.2963952071868796,0.2995059741662155,0.20213863529257034,0.20196018335433447,0.0,0.0
2018-02-28,0.26958823694419365,0.3342703423422854,0.20085941941800714,0.19528200129551382,0.0,0.0
2018-03-29,0.255481212706473,0.34177742491325747,0.2004770214555506,0.20226434092471884,0.0,0.0
2018-04-30,0.2463984729787314,0.35,0.2002302523282881,0.2033712746929805,0.0,0.0
2018-05-31,0.24011362270169362,0.34220978958219267,0.20519629231974681,0.212480295396367,0.0,0.0
2018-06-29,0.23925353366640645,0.34069289569986355,0.20700420568243907,0.213049364951291,0.0,0.0
2018-07-31,0.23682520451357836,0.3381294782790017,0.21752356224435865,0.20752175496306133,0.0,0.0
2018-08-31,0.2425515756003751,0.33022873620345294,0.218733643709982,0.20848604448619,0.0,0.0
