,Actual_Return,Prediction,Position_Binary (t=0),Position_Binary (t=opt),Position_Scaled,Position_Adaptive,Equity_Binary (t=0),Equity_Binary (t=opt),Equity_Scaled,Equity_Adaptive,BnH_Equity
2011-04-15,1.3178,-0.0451,0.0000,0.0000,0.0000,1.0000,1.1793,1.1123,1.0975,1.2704,1.2180
2011-04-22,1.9808,0.1186,1.0000,0.0000,0.2373,1.0000,1.2025,1.1123,1.1026,1.2955,1.2421
2011-04-29,-1.6344,-0.0054,0.0000,0.0000,0.0000,1.0000,1.2022,1.1123,1.1026,1.2743,1.2218
2011-05-06,-0.1192,-0.0666,0.0000,0.0000,0.0000,1.0000,1.2022,1.1123,1.1026,1.2728,1.2204
2011-05-13,-0.3208,0.0296,1.0000,0.0000,0.0591,1.0000,1.1981,1.1123,1.1024,1.2687,1.2164
2011-05-20,-0.0749,-0.2222,0.0000,0.0000,0.0000,0.0000,1.1979,1.1123,1.1024,1.2685,1.2155
2011-05-27,-2.3145,-0.0660,0.0000,0.0000,0.0000,1.0000,1.1979,1.1123,1.1024,1.2389,1.1874
2011-06-03,-2.1622,-0.1889,0.0000,0.0000,0.0000,0.0000,1.1979,1.1123,1.1024,1.2386,1.1617
2011-06-10,0.0627,-0.1121,0.0000,0.0000,0.0000,0.0000,1.1979,1.1123,1.1024,1.2386,1.1624
2011-06-17,-0.1889,-0.2598,0.0000,0.0000,0.0000,0.0000,1.1979,1.1123,1.1024,1.2386,1.1603
2011-06-24,5.6068,0.0057,1.0000,0.0000,0.0113,1.0000,1.2648,1.1123,1.1031,1.3078,1.2253
2011-07-01,0.3585,0.0125,1.0000,0.0000,0.0249,1.0000,1.2693,1.1123,1.1031,1.3125,1.2297
2011-07-08,-2.0164,-0.1125,0.0000,0.0000,0.0000,0.0000,1.2691,1.1123,1.1031,1.3122,1.2049
2011-07-15,2.1945,-0.0292,0.0000,0.0000,0.0000,1.0000,1.2691,1.1123,1.1031,1.3408,1.2313
2011-07-22,-3.9011,0.0180,1.0000,0.0000,0.0360,1.0000,1.2193,1.1123,1.1016,1.2885,1.1833
2011-07-29,-7.1522,0.0754,1.0000,0.0000,0.1508,1.0000,1.1321,1.1123,1.0897,1.1963,1.0987
2011-08-05,-1.6323,0.1506,1.0000,0.0000,0.3011,1.0000,1.1136,1.1123,1.0843,1.1768,1.0807
2011-08-12,-4.6393,0.1744,1.0000,0.0000,0.3488,1.0000,1.0620,1.1123,1.0667,1.1222,1.0306
2011-08-19,4.7319,0.0018,1.0000,0.0000,0.0037,0.0000,1.1122,1.1123,1.0668,1.1220,1.0794
2011-08-26,-0.1018,0.0309,1.0000,0.0000,0.0619,1.0000,1.1111,1.1123,1.0668,1.1206,1.0783
2011-09-02,-1.6376,0.1011,1.0000,0.0000,0.2022,1.0000,1.0929,1.1123,1.0632,1.1023,1.0606
2011-09-09,5.3732,0.1675,1.0000,0.0000,0.3350,0.0000,1.1516,1.1123,1.0823,1.1020,1.1176
2011-09-16,-6.5668,0.1540,1.0000,0.0000,0.3080,1.0000,1.0760,1.1123,1.0604,1.0294,1.0442
2011-09-23,-0.3435,0.3734,1.0000,1.0000,0.7469,1.0000,1.0723,1.1082,1.0576,1.0259,1.0406
2011-09-30,2.2625,0.0702,1.0000,0.0000,0.1405,0.0000,1.0966,1.1080,1.0608,1.0257,1.0642
2011-10-07,5.9285,0.2851,1.0000,1.0000,0.5702,0.0000,1.1616,1.1735,1.0966,1.0257,1.1273
2011-10-14,1.1423,-0.0934,0.0000,0.0000,0.0000,0.0000,1.1613,1.1732,1.0965,1.0257,1.1401
2011-10-21,3.7348,0.0777,1.0000,0.0000,0.1554,0.0000,1.2045,1.1732,1.1028,1.0257,1.1827
2011-10-28,-2.4261,0.1136,1.0000,0.0000,0.2273,0.0000,1.1752,1.1732,1.0967,1.0257,1.1540
2011-11-04,0.9403,0.1721,1.0000,0.0000,0.3443,0.0000,1.1863,1.1732,1.1002,1.0257,1.1649
2011-11-11,-3.6949,-0.0063,0.0000,0.0000,0.0000,0.0000,1.1861,1.1732,1.1002,1.0257,1.1218
2011-11-18,-4.6237,0.1590,1.0000,0.0000,0.3180,0.0000,1.1310,1.1732,1.0839,1.0257,1.0700
2011-11-25,7.3233,0.1412,1.0000,0.0000,0.2824,0.0000,1.2138,1.1732,1.1063,1.0257,1.1483
2011-12-02,0.9531,0.0468,1.0000,0.0000,0.0936,0.0000,1.2254,1.1732,1.1073,1.0257,1.1593
2011-12-09,-2.9265,0.1721,1.0000,0.0000,0.3443,0.0000,1.1895,1.1732,1.0961,1.0257,1.1253
2011-12-16,3.9477,0.0808,1.0000,0.0000,0.1616,0.0000,1.2365,1.1732,1.1030,1.0257,1.1698
2011-12-23,-0.7041,0.1586,1.0000,0.0000,0.3171,0.0000,1.2278,1.1732,1.1005,1.0257,1.1615
2011-12-30,1.7609,0.1149,1.0000,0.0000,0.2299,0.0000,1.2494,1.1732,1.1050,1.0257,1.1820
2012-01-06,0.8849,-0.0128,0.0000,0.0000,0.0000,0.0000,1.2491,1.1732,1.1049,1.0257,1.1924
2012-01-13,2.4138,-0.1611,0.0000,0.0000,0.0000,0.0000,1.2491,1.1732,1.1049,1.0257,1.2212
2012-01-20,-0.0985,-0.0437,0.0000,0.0000,0.0000,0.0000,1.2491,1.1732,1.1049,1.0257,1.2200
2012-01-27,2.0634,0.0578,1.0000,0.0000,0.1156,0.0000,1.2747,1.1732,1.1075,1.0257,1.2452
2012-02-03,-0.1337,-0.2165,0.0000,0.0000,0.0000,1.0000,1.2744,1.1732,1.1075,1.0241,1.2435
2012-02-10,1.5258,-0.0855,0.0000,0.0000,0.0000,1.0000,1.2744,1.1732,1.1075,1.0398,1.2625
2012-02-17,0.3811,-0.1683,0.0000,0.0000,0.0000,1.0000,1.2744,1.1732,1.1075,1.0437,1.2673
2012-02-24,0.2776,-0.1129,0.0000,0.0000,0.0000,1.0000,1.2744,1.1732,1.1075,1.0466,1.2708
2012-03-02,0.1894,-0.1431,0.0000,0.0000,0.0000,1.0000,1.2744,1.1732,1.1075,1.0486,1.2732
2012-03-09,2.4314,-0.0233,0.0000,0.0000,0.0000,1.0000,1.2744,1.1732,1.1075,1.0741,1.3042
2012-03-16,-0.4633,-0.1658,0.0000,0.0000,0.0000,1.0000,1.2744,1.1732,1.1075,1.0691,1.2982
2012-03-23,0.8306,-0.0608,0.0000,0.0000,0.0000,1.0000,1.2744,1.1732,1.1075,1.0780,1.3089
2012-03-30,-0.7244,-0.1417,0.0000,0.0000,0.0000,1.0000,1.2744,1.1732,1.1075,1.0702,1.2995
2012-04-06,-1.8957,-0.1199,0.0000,0.0000,0.0000,1.0000,1.2744,1.1732,1.1075,1.0499,1.2748
2012-04-13,0.5907,-0.1031,0.0000,0.0000,0.0000,1.0000,1.2744,1.1732,1.1075,1.0561,1.2823
2012-04-20,1.7688,-0.2212,0.0000,0.0000,0.0000,0.0000,1.2744,1.1732,1.1075,1.0559,1.3050
2012-04-27,-2.4147,-0.1176,0.0000,0.0000,0.0000,1.0000,1.2744,1.1732,1.1075,1.0302,1.2735
2012-05-04,-1.0146,-0.2170,0.0000,0.0000,0.0000,1.0000,1.2744,1.1732,1.1075,1.0197,1.2606
2012-05-11,-4.3285,-0.1203,0.0000,0.0000,0.0000,0.0000,1.2744,1.1732,1.1075,1.0195,1.2060
2012-05-18,1.8190,-0.0341,0.0000,0.0000,0.0000,1.0000,1.2744,1.1732,1.1075,1.0379,1.2280
2012-05-25,-2.9825,-0.1098,0.0000,0.0000,0.0000,0.0000,1.2744,1.1732,1.1075,1.0377,1.1913
2012-06-01,3.8545,-0.0434,0.0000,0.0000,0.0000,1.0000,1.2744,1.1732,1.1075,1.0774,1.2373
2012-06-08,1.3036,-0.0973,0.0000,0.0000,0.0000,1.0000,1.2744,1.1732,1.1075,1.0915,1.2534
2012-06-15,-0.5069,-0.2710,0.0000,0.0000,0.0000,0.0000,1.2744,1.1732,1.1075,1.0913,1.2470
2012-06-22,1.9781,-0.0055,0.0000,0.0000,0.0000,1.0000,1.2744,1.1732,1.1075,1.1126,1.2717
2012-06-29,-0.4482,0.0205,1.0000,0.0000,0.0409,1.0000,1.2684,1.1732,1.1073,1.1077,1.2660
2012-07-06,0.1920,-0.0996,0.0000,0.0000,0.0000,1.0000,1.2682,1.1732,1.1073,1.1098,1.2684
2012-07-13,0.5303,0.0508,1.0000,0.0000,0.1017,1.0000,1.2747,1.1732,1.1078,1.1157,1.2752
2012-07-20,1.6194,-0.0385,0.0000,0.0000,0.0000,1.0000,1.2744,1.1732,1.1078,1.1337,1.2958
2012-07-27,0.4832,0.0518,1.0000,0.0000,0.1037,1.0000,1.2803,1.1732,1.1084,1.1392,1.3021
2012-08-03,1.0692,0.0171,1.0000,0.0000,0.0343,1.0000,1.2940,1.1732,1.1087,1.1514,1.3160
2012-08-10,0.9514,-0.0042,0.0000,0.0000,0.0000,1.0000,1.2937,1.1732,1.1087,1.1623,1.3285
2012-08-17,-0.4712,0.0631,1.0000,0.0000,0.1262,1.0000,1.2874,1.1732,1.1080,1.1569,1.3223
2012-08-24,-0.2473,0.1005,1.0000,0.0000,0.2009,1.0000,1.2842,1.1732,1.1075,1.1540,1.3190
2012-08-31,2.2456,0.0888,1.0000,0.0000,0.1777,1.0000,1.3130,1.1732,1.1119,1.1799,1.3486
2012-09-07,2.0162,0.0907,1.0000,0.0000,0.1814,1.0000,1.3395,1.1732,1.1160,1.2037,1.3758
2012-09-14,-0.4017,0.1082,1.0000,0.0000,0.2163,1.0000,1.3341,1.1732,1.1150,1.1989,1.3703
2012-09-21,-1.3025,0.0876,1.0000,0.0000,0.1752,1.0000,1.3168,1.1732,1.1124,1.1833,1.3524
2012-09-28,1.5073,0.1758,1.0000,0.0000,0.3517,1.0000,1.3366,1.1732,1.1183,1.2011,1.3728
2012-10-05,-2.2239,0.0606,1.0000,0.0000,0.1211,1.0000,1.3069,1.1732,1.1152,1.1744,1.3423
2012-10-12,0.3499,0.1494,1.0000,0.0000,0.2987,1.0000,1.3115,1.1732,1.1163,1.1785,1.3470
2012-10-19,-1.4227,0.0255,1.0000,0.0000,0.0510,1.0000,1.2928,1.1732,1.1155,1.1617,1.3278
2012-10-26,0.1486,0.1558,1.0000,0.0000,0.3115,1.0000,1.2947,1.1732,1.1159,1.1635,1.3298
2012-11-02,-2.4018,0.0530,1.0000,0.0000,0.1061,1.0000,1.2636,1.1732,1.1131,1.1355,1.2978
2012-11-09,-1.2956,0.1323,1.0000,0.0000,0.2646,1.0000,1.2472,1.1732,1.1092,1.1208,1.2810
2012-11-16,3.6518,0.0715,1.0000,0.0000,0.1429,1.0000,1.2928,1.1732,1.1150,1.1617,1.3278
2012-11-23,0.5660,0.1027,1.0000,0.0000,0.2054,1.0000,1.3001,1.1732,1.1162,1.1683,1.3353
2012-11-30,0.1829,0.1873,1.0000,0.0000,0.3746,1.0000,1.3025,1.1732,1.1170,1.1704,1.3378
2012-12-07,-0.2176,0.0753,1.0000,0.0000,0.1506,1.0000,1.2997,1.1732,1.1166,1.1679,1.3349
2012-12-14,1.1982,0.1033,1.0000,0.0000,0.2067,1.0000,1.3152,1.1732,1.1193,1.1819,1.3509
2012-12-21,-1.9329,0.0595,1.0000,0.0000,0.1190,1.0000,1.2898,1.1732,1.1167,1.1590,1.3247
2012-12-28,4.5276,0.2461,1.0000,0.0000,0.4922,1.0000,1.3482,1.1732,1.1415,1.2115,1.3847
2013-01-04,0.4782,0.0349,1.0000,0.0000,0.0697,1.0000,1.3546,1.1732,1.1418,1.2173,1.3913
2013-01-11,0.8567,0.0832,1.0000,0.0000,0.1664,1.0000,1.3663,1.1732,1.1434,1.2277,1.4033
2013-01-18,1.2944,0.1420,1.0000,0.0000,0.2839,1.0000,1.3839,1.1732,1.1476,1.2436,1.4214
2013-01-25,0.6589,0.1350,1.0000,0.0000,0.2700,1.0000,1.3931,1.1732,1.1496,1.2518,1.4308
2013-02-01,0.3703,0.0619,1.0000,0.0000,0.1237,1.0000,1.3982,1.1732,1.1501,1.2565,1.4361
2013-02-08,0.2042,0.0315,1.0000,0.0000,0.0629,1.0000,1.4011,1.1732,1.1502,1.2590,1.4390
2013-02-15,-0.1447,0.0153,1.0000,0.0000,0.0306,0.0000,1.3990,1.1732,1.1502,1.2588,1.4369
2013-02-22,0.1449,0.1275,1.0000,0.0000,0.2550,1.0000,1.4011,1.1732,1.1506,1.2604,1.4390
2013-03-01,2.1892,0.1109,1.0000,0.0000,0.2217,1.0000,1.4317,1.1732,1.1561,1.2879,1.4705
2013-03-08,0.6968,0.0602,1.0000,0.0000,0.1204,0.0000,1.4417,1.1732,1.1571,1.2877,1.4808
2013-03-15,-0.1476,-0.0118,0.0000,0.0000,0.0000,0.0000,1.4414,1.1732,1.1571,1.2877,1.4786
2013-03-22,0.6877,0.1069,1.0000,0.0000,0.2138,1.0000,1.4511,1.1732,1.1587,1.2963,1.4888
2013-03-29,-0.9638,0.0387,1.0000,0.0000,0.0774,0.0000,1.4371,1.1732,1.1578,1.2960,1.4744
2013-04-05,2.3459,-0.0344,0.0000,0.0000,0.0000,0.0000,1.4368,1.1732,1.1578,1.2960,1.5090
2013-04-12,-2.0907,0.0441,1.0000,0.0000,0.0882,1.0000,1.4065,1.1732,1.1556,1.2687,1.4774
2013-04-19,1.7752,0.0981,1.0000,0.0000,0.1962,1.0000,1.4314,1.1732,1.1596,1.2912,1.5037
2013-04-26,1.9780,-0.0610,0.0000,0.0000,0.0000,0.0000,1.4311,1.1732,1.1596,1.2909,1.5334
2013-05-03,1.2642,-0.1283,0.0000,0.0000,0.0000,1.0000,1.4311,1.1732,1.1596,1.3070,1.5528
2013-05-10,2.1602,-0.0544,0.0000,0.0000,0.0000,1.0000,1.4311,1.1732,1.1596,1.3352,1.5863
2013-05-17,-0.9765,-0.0210,0.0000,0.0000,0.0000,1.0000,1.4311,1.1732,1.1596,1.3222,1.5709
2013-05-24,-1.1251,-0.0171,0.0000,0.0000,0.0000,1.0000,1.4311,1.1732,1.1596,1.3073,1.5532
2013-05-31,0.8260,0.0703,1.0000,0.0000,0.1406,1.0000,1.4427,1.1732,1.1609,1.3181,1.5660
2013-06-07,-0.9831,0.1245,1.0000,0.0000,0.2489,1.0000,1.4285,1.1732,1.1580,1.3052,1.5506
2013-06-14,-2.0028,-0.0767,0.0000,0.0000,0.0000,1.0000,1.4282,1.1732,1.1580,1.2790,1.5196
2013-06-21,0.8486,0.0846,1.0000,0.0000,0.1692,1.0000,1.4400,1.1732,1.1596,1.2899,1.5325
2013-06-28,1.6208,0.0854,1.0000,0.0000,0.1708,1.0000,1.4634,1.1732,1.1628,1.3108,1.5573
2013-07-05,2.7542,0.0315,1.0000,0.0000,0.0630,1.0000,1.5037,1.1732,1.1648,1.3469,1.6002
2013-07-12,0.9910,0.1151,1.0000,0.0000,0.2302,1.0000,1.5186,1.1732,1.1674,1.3602,1.6160
2013-07-19,-0.0355,0.1469,1.0000,0.0000,0.2938,1.0000,1.5180,1.1732,1.1673,1.3597,1.6155
2013-07-26,1.0881,0.1605,1.0000,0.0000,0.3211,1.0000,1.5346,1.1732,1.1714,1.3745,1.6330
2013-08-02,-0.9593,0.1447,1.0000,0.0000,0.2895,1.0000,1.5198,1.1732,1.1681,1.3614,1.6174
2013-08-09,-2.0555,0.1389,1.0000,0.0000,0.2777,1.0000,1.4886,1.1732,1.1614,1.3334,1.5841
2013-08-16,0.4764,0.1529,1.0000,0.0000,0.3059,1.0000,1.4957,1.1732,1.1631,1.3397,1.5917
2013-08-23,-1.7825,0.0802,1.0000,0.0000,0.1603,1.0000,1.4690,1.1732,1.1598,1.3158,1.5633
2013-08-30,1.4605,0.1514,1.0000,0.0000,0.3028,1.0000,1.4905,1.1732,1.1649,1.3351,1.5861
2013-09-06,1.9815,0.0869,1.0000,0.0000,0.1737,1.0000,1.5200,1.1732,1.1688,1.3615,1.6176
2013-09-13,1.3123,0.1220,1.0000,0.0000,0.2440,1.0000,1.5400,1.1732,1.1726,1.3794,1.6388
2013-09-20,-1.0602,0.1709,1.0000,0.0000,0.3417,1.0000,1.5236,1.1732,1.1683,1.3648,1.6214
2013-09-27,-0.0118,0.2128,1.0000,0.0000,0.4256,1.0000,1.5235,1.1732,1.1682,1.3646,1.6212
2013-10-04,0.8111,0.1259,1.0000,0.0000,0.2518,1.0000,1.5358,1.1732,1.1706,1.3757,1.6344
2013-10-11,2.4257,0.1309,1.0000,0.0000,0.2618,1.0000,1.5731,1.1732,1.1780,1.4090,1.6740
2013-10-18,0.8946,0.1033,1.0000,0.0000,0.2066,1.0000,1.5871,1.1732,1.1802,1.4216,1.6890
2013-10-25,0.1478,0.1433,1.0000,0.0000,0.2865,1.0000,1.5895,1.1732,1.1806,1.4237,1.6915
2013-11-01,0.6129,0.1703,1.0000,0.0000,0.3405,1.0000,1.5992,1.1732,1.1831,1.4325,1.7019
2013-11-08,1.5568,0.1287,1.0000,0.0000,0.2574,1.0000,1.6241,1.1732,1.1878,1.4548,1.7284
2013-11-15,0.4221,0.1150,1.0000,0.0000,0.2301,1.0000,1.6310,1.1732,1.1890,1.4609,1.7357
2013-11-22,0.1051,0.0683,1.0000,0.0000,0.1366,1.0000,1.6327,1.1732,1.1891,1.4624,1.7375
2013-11-29,-0.0331,0.0594,1.0000,0.0000,0.1188,1.0000,1.6322,1.1732,1.1891,1.4620,1.7369
2013-12-06,-1.5641,0.1373,1.0000,0.0000,0.2745,1.0000,1.6066,1.1732,1.1839,1.4391,1.7097
2013-12-13,2.4904,0.0679,1.0000,0.0000,0.1359,1.0000,1.6466,1.1732,1.1879,1.4749,1.7523
2013-12-20,1.2613,0.3115,1.0000,1.0000,0.6230,1.0000,1.6674,1.1878,1.1971,1.4935,1.7744
2013-12-27,-0.5222,0.1427,1.0000,0.0000,0.2854,1.0000,1.6587,1.1876,1.1952,1.4857,1.7652
2014-01-03,0.6835,0.0870,1.0000,0.0000,0.1740,1.0000,1.6700,1.1876,1.1966,1.4959,1.7772
2014-01-10,-0.2715,0.2138,1.0000,0.0000,0.4275,1.0000,1.6655,1.1876,1.1952,1.4918,1.7724
2014-01-17,-2.5865,0.0727,1.0000,0.0000,0.1454,1.0000,1.6224,1.1876,1.1906,1.4532,1.7265
2014-01-24,-0.3969,0.4698,1.0000,1.0000,0.9395,1.0000,1.6160,1.1826,1.1860,1.4475,1.7197
2014-01-31,0.8419,-0.0035,0.0000,0.0000,0.0000,1.0000,1.6157,1.1824,1.1858,1.4597,1.7342
2014-02-07,2.4154,0.4349,1.0000,1.0000,0.8699,1.0000,1.6544,1.2107,1.2105,1.4949,1.7761
2014-02-14,-0.0706,0.0925,1.0000,0.0000,0.1851,1.0000,1.6532,1.2105,1.2102,1.4939,1.7748
2014-02-21,1.3051,0.4198,1.0000,1.0000,0.8396,1.0000,1.6748,1.2260,1.2233,1.5134,1.7980
2014-02-28,1.0575,0.3495,1.0000,1.0000,0.6989,1.0000,1.6925,1.2390,1.2323,1.5294,1.8170
2014-03-07,-1.9123,0.3860,1.0000,1.0000,0.7721,1.0000,1.6601,1.2153,1.2141,1.5001,1.7822
2014-03-14,1.2790,0.5578,1.0000,1.0000,1.0000,1.0000,1.6814,1.2308,1.2295,1.5193,1.8050
2014-03-21,-0.3813,0.1010,1.0000,0.0000,0.2019,1.0000,1.6749,1.2306,1.2284,1.5135,1.7981
2014-03-28,0.4906,0.5756,1.0000,1.0000,1.0000,1.0000,1.6832,1.2364,1.2342,1.5209,1.8070
2014-04-04,-2.6234,0.0566,1.0000,0.0000,0.1132,1.0000,1.6390,1.2361,1.2303,1.4810,1.7596
2014-04-11,2.6886,0.9047,1.0000,1.0000,1.0000,1.0000,1.6831,1.2691,1.2632,1.5209,1.8069
2014-04-18,-0.0537,0.0963,1.0000,0.0000,0.1925,0.0000,1.6822,1.2689,1.2629,1.5205,1.8059
2014-04-25,0.9501,0.2927,1.0000,1.0000,0.5854,1.0000,1.6981,1.2807,1.2698,1.5347,1.8231
2014-05-02,-0.0531,0.2386,1.0000,0.0000,0.4771,1.0000,1.6972,1.2804,1.2694,1.5339,1.8221
2014-05-09,0.0479,0.2669,1.0000,0.0000,0.5338,1.0000,1.6981,1.2804,1.2697,1.5346,1.8230
2014-05-16,1.2231,0.2770,1.0000,0.0000,0.5540,1.0000,1.7188,1.2804,1.2783,1.5534,1.8453
2014-05-23,1.2240,0.0790,1.0000,0.0000,0.1580,0.0000,1.7399,1.2804,1.2807,1.5531,1.8678
2014-05-30,1.4013,0.0146,1.0000,0.0000,0.0292,0.0000,1.7642,1.2804,1.2812,1.5531,1.8940
2014-06-06,-0.6397,0.1781,1.0000,0.0000,0.3563,0.0000,1.7530,1.2804,1.2782,1.5531,1.8819
2014-06-13,1.4160,0.1754,1.0000,0.0000,0.3507,0.0000,1.7778,1.2804,1.2845,1.5531,1.9086
2014-06-20,-0.0613,-0.0519,0.0000,0.0000,0.0000,0.0000,1.7774,1.2804,1.2845,1.5531,1.9074
2014-06-27,1.2155,0.0019,1.0000,0.0000,0.0038,0.0000,1.7987,1.2804,1.2845,1.5531,1.9306
2014-07-04,-0.8022,0.0561,1.0000,0.0000,0.1123,0.0000,1.7842,1.2804,1.2833,1.5531,1.9151
2014-07-11,0.5595,0.0759,1.0000,0.0000,0.1519,0.0000,1.7942,1.2804,1.2844,1.5531,1.9258
2014-07-18,0.0050,0.0188,1.0000,0.0000,0.0375,0.0000,1.7943,1.2804,1.2844,1.5531,1.9259
2014-07-25,-2.6401,-0.0543,0.0000,0.0000,0.0000,0.0000,1.7940,1.2804,1.2844,1.5531,1.8750
2014-08-01,0.3844,0.1617,1.0000,0.0000,0.3233,1.0000,1.8005,1.2804,1.2859,1.5587,1.8823
2014-08-08,1.2834,0.0714,1.0000,0.0000,0.1428,1.0000,1.8236,1.2804,1.2882,1.5787,1.9064
2014-08-15,1.7729,0.0347,1.0000,0.0000,0.0695,1.0000,1.8559,1.2804,1.2898,1.6067,1.9402
2014-08-22,0.7632,0.1299,1.0000,0.0000,0.2598,1.0000,1.8701,1.2804,1.2923,1.6190,1.9550
2014-08-29,0.1993,0.0741,1.0000,0.0000,0.1481,1.0000,1.8738,1.2804,1.2926,1.6222,1.9589
2014-09-05,-0.9846,0.0883,1.0000,0.0000,0.1767,1.0000,1.8554,1.2804,1.2904,1.6062,1.9396
2014-09-12,1.2596,0.1428,1.0000,0.0000,0.2856,1.0000,1.8787,1.2804,1.2950,1.6265,1.9641
2014-09-19,-1.3951,0.0891,1.0000,0.0000,0.1781,1.0000,1.8525,1.2804,1.2917,1.6038,1.9367
2014-09-26,-0.6973,0.2249,1.0000,0.0000,0.4498,1.0000,1.8396,1.2804,1.2876,1.5926,1.9232
2014-10-03,-3.0430,0.3091,1.0000,1.0000,0.6183,1.0000,1.7836,1.2412,1.2633,1.5441,1.8646
2014-10-10,-1.0864,0.2112,1.0000,0.0000,0.4224,1.0000,1.7643,1.2409,1.2575,1.5274,1.8444
2014-10-17,4.2236,0.3886,1.0000,1.0000,0.7771,1.0000,1.8388,1.2931,1.2987,1.5919,1.9223
2014-10-24,2.6624,0.1208,1.0000,0.0000,0.2416,1.0000,1.8877,1.2928,1.3069,1.6342,1.9734
2014-10-31,0.8331,0.0653,1.0000,0.0000,0.1306,1.0000,1.9035,1.2928,1.3083,1.6479,1.9899
2014-11-07,0.4426,0.1733,1.0000,0.0000,0.3466,1.0000,1.9119,1.2928,1.3102,1.6552,1.9987
2014-11-14,1.1947,0.1883,1.0000,0.0000,0.3766,1.0000,1.9347,1.2928,1.3161,1.6749,2.0226
2014-11-21,0.2516,0.2506,1.0000,0.0000,0.5011,1.0000,1.9396,1.2928,1.3178,1.6791,2.0277
2014-11-28,0.3862,0.0764,1.0000,0.0000,0.1528,1.0000,1.9471,1.2928,1.3184,1.6856,2.0355
2014-12-05,-3.4183,0.2421,1.0000,0.0000,0.4842,1.0000,1.8805,1.2928,1.2965,1.6280,1.9659
2014-12-12,3.3699,0.3025,1.0000,1.0000,0.6050,1.0000,1.9439,1.3362,1.3229,1.6829,2.0322
2014-12-19,0.9297,0.0709,1.0000,0.0000,0.1419,1.0000,1.9620,1.3359,1.3246,1.6985,2.0511
2014-12-26,-1.4440,0.0306,1.0000,0.0000,0.0611,1.0000,1.9336,1.3359,1.3234,1.6740,2.0214
2015-01-02,-0.5744,0.0859,1.0000,0.0000,0.1718,1.0000,1.9225,1.3359,1.3220,1.6644,2.0098
2015-01-09,-1.2828,0.1341,1.0000,0.0000,0.2682,1.0000,1.8979,1.3359,1.3175,1.6430,1.9840
2015-01-16,1.6565,0.1369,1.0000,0.0000,0.2739,1.0000,1.9293,1.3359,1.3234,1.6702,2.0169
2015-01-23,-2.6931,0.0631,1.0000,0.0000,0.1262,1.0000,1.8773,1.3359,1.3189,1.6253,1.9626
2015-01-30,3.0585,0.0733,1.0000,0.0000,0.1466,0.0000,1.9348,1.3359,1.3248,1.6249,2.0226
2015-02-06,2.0579,-0.0357,0.0000,0.0000,0.0000,1.0000,1.9344,1.3359,1.3248,1.6580,2.0642
2015-02-13,0.6960,0.0499,1.0000,0.0000,0.0999,1.0000,1.9475,1.3359,1.3257,1.6696,2.0786
2015-02-20,-0.2746,0.1518,1.0000,0.0000,0.3036,1.0000,1.9421,1.3359,1.3245,1.6650,2.0729
2015-02-27,-1.5000,0.1320,1.0000,0.0000,0.2640,1.0000,1.9130,1.3359,1.3192,1.6400,2.0418
2015-03-06,-0.8048,0.2250,1.0000,0.0000,0.4501,0.0000,1.8976,1.3359,1.3144,1.6397,2.0254
2015-03-13,2.6814,0.3111,1.0000,1.0000,0.6223,1.0000,1.9485,1.3714,1.3363,1.6833,2.0797
2015-03-20,-2.2195,0.2662,1.0000,0.0000,0.5325,1.0000,1.9052,1.3712,1.3205,1.6460,2.0335
2015-03-27,0.3402,0.2895,1.0000,1.0000,0.5789,0.0000,1.9117,1.3756,1.3231,1.6456,2.0404
2015-04-03,1.7438,0.1447,1.0000,0.0000,0.2893,0.0000,1.9450,1.3753,1.3297,1.6456,2.0760
2015-04-10,-0.9950,0.2345,1.0000,0.0000,0.4689,1.0000,1.9257,1.3753,1.3234,1.6289,2.0554
2015-04-17,1.7793,0.1885,1.0000,0.0000,0.3770,1.0000,1.9599,1.3753,1.3323,1.6579,2.0919
2015-04-24,-0.4394,0.1270,1.0000,0.0000,0.2540,1.0000,1.9513,1.3753,1.3308,1.6506,2.0827
2015-05-01,0.4271,0.2541,1.0000,0.0000,0.5083,0.0000,1.9597,1.3753,1.3336,1.6503,2.0916
2015-05-08,0.3875,0.2153,1.0000,0.0000,0.4306,0.0000,1.9673,1.3753,1.3358,1.6503,2.0997
2015-05-15,0.2589,0.2097,1.0000,0.0000,0.4195,0.0000,1.9724,1.3753,1.3372,1.6503,2.1052
2015-05-22,-0.8686,0.1780,1.0000,0.0000,0.3561,0.0000,1.9552,1.3753,1.3331,1.6503,2.0869
2015-05-29,-0.6489,0.2402,1.0000,0.0000,0.4804,0.0000,1.9425,1.3753,1.3289,1.6503,2.0734
2015-06-05,0.1144,0.1944,1.0000,0.0000,0.3889,0.0000,1.9448,1.3753,1.3295,1.6503,2.0757
2015-06-12,0.8692,0.2279,1.0000,0.0000,0.4559,0.0000,1.9617,1.3753,1.3347,1.6503,2.0938
2015-06-19,-0.4696,0.1204,1.0000,0.0000,0.2407,1.0000,1.9524,1.3753,1.3331,1.6422,2.0839
2015-06-26,-1.1963,0.1947,1.0000,0.0000,0.3894,0.0000,1.9291,1.3753,1.3269,1.6419,2.0590
2015-07-03,0.0820,0.3219,1.0000,1.0000,0.6438,1.0000,1.9307,1.3761,1.3275,1.6429,2.0607
