,Actual_Return,Prediction,Position_Binary (t=0),Position_Binary (t=opt),Position_Scaled,Position_Adaptive,Equity_Binary (t=0),Equity_Binary (t=opt),Equity_Scaled,Equity_Adaptive,BnH_Equity
2021-04-30,1.1550,0.0925,1.0000,0.0000,0.1850,1.0000,4.5944,2.5570,2.5517,3.4315,4.6845
2021-05-07,-1.3124,0.1490,1.0000,0.0000,0.2981,1.0000,4.5341,2.5570,2.5417,3.3864,4.6231
2021-05-14,-0.3937,0.2721,1.0000,0.0000,0.5443,1.0000,4.5162,2.5570,2.5361,3.3731,4.6049
2021-05-21,1.2291,0.1215,1.0000,0.0000,0.2431,1.0000,4.5717,2.5570,2.5436,3.4146,4.6615
2021-05-28,0.6094,0.1520,1.0000,0.0000,0.3039,1.0000,4.5996,2.5570,2.5482,3.4354,4.6899
2021-06-04,0.4046,0.1842,1.0000,0.0000,0.3685,1.0000,4.6182,2.5570,2.5520,3.4493,4.7088
2021-06-11,-1.8931,0.2645,1.0000,0.0000,0.5290,1.0000,4.5308,2.5570,2.5264,3.3840,4.6197
2021-06-18,2.8174,0.3258,1.0000,1.0000,0.6516,1.0000,4.6584,2.6285,2.5727,3.4793,4.7499
2021-06-25,1.6667,0.2720,1.0000,0.0000,0.5440,1.0000,4.7361,2.6280,2.5960,3.5373,4.8290
2021-07-02,0.4150,0.1676,1.0000,0.0000,0.3352,1.0000,4.7557,2.6280,2.5995,3.5520,4.8491
2021-07-09,-0.9598,0.1184,1.0000,0.0000,0.2368,1.0000,4.7101,2.6280,2.5935,3.5179,4.8025
2021-07-16,1.9938,0.2691,1.0000,0.0000,0.5381,1.0000,4.8040,2.6280,2.6212,3.5880,4.8983
2021-07-23,-0.3250,0.4699,1.0000,1.0000,0.9397,1.0000,4.7884,2.6189,2.6129,3.5764,4.8824
2021-07-30,0.9076,0.2683,1.0000,0.0000,0.5367,1.0000,4.8318,2.6184,2.6255,3.6088,4.9267
2021-08-06,0.7751,0.4164,1.0000,1.0000,0.8328,1.0000,4.8693,2.6382,2.6423,3.6368,4.9649
2021-08-13,-0.5741,0.2273,1.0000,0.0000,0.4547,1.0000,4.8413,2.6376,2.6352,3.6159,4.9364
2021-08-20,1.5540,0.4750,1.0000,1.0000,0.9499,1.0000,4.9166,2.6781,2.6738,3.6721,5.0131
2021-08-27,0.6286,0.2593,1.0000,0.0000,0.5187,1.0000,4.9475,2.6776,2.6823,3.6952,5.0446
2021-09-03,-1.6862,0.1839,1.0000,0.0000,0.3679,1.0000,4.8640,2.6776,2.6656,3.6329,4.9595
2021-09-10,-0.5895,0.4134,1.0000,1.0000,0.8268,1.0000,4.8354,2.6612,2.6523,3.6115,4.9303
2021-09-17,0.5686,0.3139,1.0000,1.0000,0.6278,1.0000,4.8628,2.6764,2.6617,3.6320,4.9583
2021-09-24,-2.1784,0.5455,1.0000,1.0000,1.0000,1.0000,4.7569,2.6181,2.6035,3.5529,4.8503
2021-10-01,0.8336,0.4624,1.0000,1.0000,0.9247,1.0000,4.7966,2.6399,2.6235,3.5825,4.8907
2021-10-08,1.8293,0.4644,1.0000,1.0000,0.9287,1.0000,4.8843,2.6882,2.6681,3.6481,4.9802
2021-10-15,1.6260,0.4104,1.0000,1.0000,0.8208,1.0000,4.9637,2.7319,2.7037,3.7074,5.0612
2021-10-22,1.3528,0.4236,1.0000,1.0000,0.8472,1.0000,5.0309,2.7689,2.7346,3.7575,5.1297
2021-10-29,2.0207,0.4233,1.0000,1.0000,0.8465,1.0000,5.1326,2.8248,2.7814,3.8335,5.2333
2021-11-05,-0.2689,0.4122,1.0000,1.0000,0.8244,1.0000,5.1187,2.8172,2.7752,3.8231,5.2192
2021-11-12,0.3467,0.4381,1.0000,1.0000,0.8763,1.0000,5.1365,2.8270,2.7836,3.8364,5.2373
2021-11-19,-2.1156,0.3573,1.0000,1.0000,0.7145,1.0000,5.0278,2.7672,2.7415,3.7552,5.1265
2021-11-26,-1.2092,0.9158,1.0000,1.0000,1.0000,1.0000,4.9670,2.7337,2.7082,3.7098,5.0645
